skill	source	installed_at_utc
acquire-codebase-knowledge	github/awesome-copilot	2026-08-05T21:46:30Z
quality-playbook	github/awesome-copilot	2026-08-05T21:46:30Z
threat-model-analyst	github/awesome-copilot	2026-08-05T21:46:30Z
refactor	github/awesome-copilot	2026-08-05T21:46:30Z
code-review	getsentry/skills	2026-08-05T21:46:30Z
code-simplifier	getsentry/skills	2026-08-05T21:46:30Z
find-bugs	getsentry/skills	2026-08-05T21:46:30Z
security-threat-model	openai/skills	2026-08-05T21:46:30Z
supabase	supabase/agent-skills	2026-08-05T21:46:30Z
supabase-postgres-best-practices	supabase/agent-skills	2026-08-05T21:46:30Z
vercel-react-best-practices	vercel-labs/agent-skills	2026-08-05T21:46:30Z
web-design-guidelines	vercel-labs/agent-skills	2026-08-05T21:46:30Z
api-and-interface-design	addyosmani/agent-skills	2026-08-05T21:46:30Z
source-driven-development	addyosmani/agent-skills	2026-08-05T21:46:30Z
security-and-hardening	addyosmani/agent-skills	2026-08-05T21:46:30Z
test-driven-development	addyosmani/agent-skills	2026-08-05T21:46:30Z
code-review-and-quality	addyosmani/agent-skills	2026-08-05T21:46:30Z
debugging-and-error-recovery	addyosmani/agent-skills	2026-08-05T21:46:30Z
incremental-implementation	addyosmani/agent-skills	2026-08-05T21:46:30Z
doubt-driven-development	addyosmani/agent-skills	2026-08-05T21:46:30Z
performance-optimization	addyosmani/agent-skills	2026-08-05T21:46:30Z
ci-cd-and-automation	addyosmani/agent-skills	2026-08-05T21:46:30Z
observability-and-instrumentation	addyosmani/agent-skills	2026-08-05T21:46:30Z
documentation-and-adrs	addyosmani/agent-skills	2026-08-05T21:46:30Z
api-design-principles	wshobson/agents	2026-08-05T21:46:30Z
openapi-spec-generation	wshobson/agents	2026-08-05T21:46:30Z
auth-implementation-patterns	wshobson/agents	2026-08-05T21:46:30Z
error-handling-patterns	wshobson/agents	2026-08-05T21:46:30Z
e2e-testing-patterns	wshobson/agents	2026-08-05T21:46:30Z
secrets-management	wshobson/agents	2026-08-05T21:46:30Z
sast-configuration	wshobson/agents	2026-08-05T21:46:30Z
deployment-pipeline-design	wshobson/agents	2026-08-05T21:46:30Z
nextjs-app-router-patterns	wshobson/agents	2026-08-05T21:46:30Z
nodejs-backend-patterns	wshobson/agents	2026-08-05T21:46:30Z
sql-optimization-patterns	wshobson/agents	2026-08-05T21:46:30Z
